Year,Both sexes,Female,Male,Year_since_2000,Year_squared,Male_Female_Ratio,Gender_Gap,Total_Change,Male_Lag1,Female_Lag1,Male_scaled,Female_scaled,Both sexes_scaled,Gender_Gap_scaled
2000,7.497055715,5.997578484,8.863620074,0,4000000,1.477866458545872,2.86604159,,,,1.7656240561305305,1.7806400940235012,1.7346805322688545,-1.0008729175456204
2001,7.422891479,5.94187961,8.757986019,1,4004001,1.4739420173139457,2.8161064090000005,-0.07416423600000055,8.863620074,5.997578484,1.6184752757942915,1.7093020064210733,1.6351283722772363,-1.4079212550542188
2002,7.143850731,5.640635597,8.480102562,2,4008004,1.5033948597052051,2.8394669650000006,-0.2790407479999999,8.757986019,5.94187961,1.2313821951285169,1.323474246436178,1.2605663099231301,-1.217496883045301
2003,7.281638465,5.703468895,8.660456306,3,4012009,1.5184542013707256,2.956987411,0.13778773400000066,8.480102562,5.640635597,1.4826158854254041,1.4039499723381679,1.4455215832444992,-0.2595249440316169
2004,7.085084724,5.520772549,8.42581312,4,4016016,1.5262018214327997,2.9050405710000007,-0.19655374100000067,8.660456306,5.703468895,1.15575672401094,1.1699558715670912,1.1816835054008465,-0.6829713887501236
2005,6.913846951,5.325940697,8.254575058,5,4020025,1.5498811435601685,2.9286343610000003,-0.17123777299999965,8.42581312,5.520772549,0.917221225487841,0.9204188391717993,0.9518275654798277,-0.4906458018051812
2006,6.77126628,5.215165592,8.083633313,6,4024036,1.5500242840611225,2.868467721,-0.14258067100000016,8.254575058,5.325940697,0.6790984980653393,0.7785401336048221,0.7604386354960522,-0.9810962276377961
2007,6.553234878,4.950695795,7.909150485,7,4028049,1.597583615011837,2.95845469,-0.21803140200000026,8.083633313,5.215165592,0.43604302386416477,0.4398121092899616,0.4677706571580738,-0.24756436902917053
2008,6.393790142,4.784352742,7.763668958,8,4032064,1.622720852048747,2.979316216,-0.1594447359999993,7.909150485,4.950695795,0.23338651068284616,0.2267630037197256,0.25374475027631,-0.07751092562235691
2009,6.163987983,4.518810405,7.57381692,9,4036081,1.6760643269342919,3.0550065149999996,-0.22980215900000012,7.763668958,4.784352742,-0.031078351865974147,-0.1133387099892349,-0.05472335420449599,0.5394811380186844
2010,5.876122505,4.272252657,7.259662045,10,4040100,1.6992585944338263,2.9874093879999997,-0.2878654780000005,7.57381692,4.518810405,-0.46869770381581477,-0.42912531324949726,-0.441131030836121,-0.011539156985510432
2011,5.764525482,4.203639929,7.120912113,11,4044121,1.693987171421218,2.9172721839999998,-0.11159702299999985,7.259662045,4.272252657,-0.6619770706406152,-0.5170032261980704,-0.5909299809430729,-0.5832649766175985
2012,5.787243931,4.206268661,7.165706488,12,4048144,1.7035779370061497,2.9594378269999995,0.022718449000000085,7.120912113,4.203639929,-0.5995782765474217,-0.5136363948739885,-0.5604345455204063,-0.23955029411487314
2013,5.879346124,4.216464414,7.328389025,13,4052169,1.7380412367924707,3.111924611,0.09210219299999967,7.165706488,4.206268661,-0.37296066822446916,-0.5005778630141399,-0.4368039015923166,1.0034509462177417
2014,5.92313732,4.217086366,7.410817174,14,4056196,1.757331135959002,3.1937308079999998,0.04379119600000081,7.328389025,4.216464414,-0.2581378339526631,-0.49978127839627967,-0.37802208995986936,1.670296961790432
2015,5.763488464,4.085423523,7.229203731,15,4060225,1.7695114570866977,3.143780208,-0.15964885600000045,7.410817174,4.217086366,-0.5111262914166426,-0.668412612450155,-0.5923219912625776,1.2631229357754439
2016,5.652837439,4.003393597,7.094566051,16,4064256,1.7721380321726086,3.0911724540000005,-0.11065102500000012,7.229203731,4.085423523,-0.6986772701166549,-0.7734750244301302,-0.7408511090443138,0.8342890279588027
2017,5.707120784,4.025366035,7.177663881,17,4068289,1.7831083729010495,3.1522978459999997,0.05428334499999998,7.094566051,4.003393597,-0.582921566777536,-0.7453331322460448,-0.6679854727513684,1.3325547535433624
2018,5.381765573,3.791459307,6.782930677,18,4072324,1.789002631381796,2.9914713700000006,-0.32535521099999976,7.177663881,4.025366035,-1.1327869442527834,-1.0449165430859357,-1.1047163792704953,0.02157222835402124
2019,5.138367324,3.617409891,6.477247482,19,4076361,1.7905760411932263,2.8598375910000002,-0.24339824900000018,6.782930677,3.791459307,-1.5586052025174593,-1.2678358158482435,-1.4314347914459755,-1.0514450277950045
2020,5.309355701,3.565761702,6.842191537,20,4080400,1.9188583278468336,3.2764298349999996,0.17098837700000047,6.477247482,3.617409891,-1.0502362623663732,-1.3339858610248971,-1.2019136208400913,2.3444209116751633
2021,5.09466773,3.556822909,6.452685656,21,4084441,1.814171191844401,2.895862747,-0.21468797100000003,6.842191537,3.565761702,-1.5928199520954336,-1.345434501765713,-1.4900936438537142,-0.7577847352992613
